Date,Open,Volume
1/2/1998,970.4299927,366730000
2/2/1998,980.2800293,724320000
3/2/1998,1049.339966,591470000
4/1/1998,1101.75,677310000
5/1/1998,1111.75,581970000
6/1/1998,1090.819946,537660000
7/1/1998,1133.839966,701600000
8/3/1998,1120.670044,620400000
9/1/1998,957.2800293,1216600000
10/1/1998,1017.01001,899700000
11/2/1998,1098.670044,753800000
12/1/1998,1163.630005,789200000
1/4/1999,1229.22998,877000000
2/1/1999,1279.640015,799400000
3/1/1999,1238.329956,699500000
4/1/1999,1286.369995,703000000
5/3/1999,1335.180054,811400000
6/1/1999,1301.839966,683800000
7/1/1999,1372.709961,843400000
8/2/1999,1328.719971,649550000
9/1/1999,1320.410034,708200000
10/1/1999,1282.709961,896200000
11/1/1999,1362.930054,861000000
12/1/1999,1388.910034,884000000
1/3/2000,1469.25,931800000
2/1/2000,1394.459961,981000000
3/1/2000,1366.420044,1274100000
4/3/2000,1498.579956,1021700000
5/1/2000,1452.430054,966300000
6/1/2000,1420.599976,960100000
7/3/2000,1454.599976,451900000
8/1/2000,1430.829956,938700000
9/1/2000,1517.680054,767700000
10/2/2000,1436.52002,1051200000
11/1/2000,1429.400024,1206800000
12/1/2000,1314.949951,1195200000
1/2/2001,1320.280029,1129400000
2/1/2001,1366.01001,1118800000
3/1/2001,1239.939941,1294900000
4/2/2001,1160.329956,1254900000
5/1/2001,1249.459961,1181300000
6/1/2001,1255.819946,1015000000
7/2/2001,1224.420044,1128300000
8/1/2001,1211.22998,1340300000
9/4/2001,1133.579956,1178300000
10/1/2001,1040.939941,1175600000
11/1/2001,1059.780029,1317400000
12/3/2001,1139.449951,1202900000
1/2/2002,1148.079956,1171000000
2/1/2002,1130.199951,1367200000
3/1/2002,1106.72998,1456500000
4/1/2002,1147.390015,1050900000
5/1/2002,1076.920044,1451400000
6/3/2002,1067.140015,1324300000
7/1/2002,989.8200073,1425500000
8/1/2002,911.6199951,1672200000
9/3/2002,916.0700073,1289800000
10/1/2002,815.2800293,1780900000
11/1/2002,885.7600098,1450400000
12/2/2002,936.3099976,1612000000
1/2/2003,879.8200073,1229200000
2/3/2003,855.7000122,1258500000
3/3/2003,841.1500244,1208900000
4/1/2003,848.1799927,1461600000
5/1/2003,916.9199829,1397500000
6/2/2003,963.5900269,1662500000
7/1/2003,974.5,1460200000
8/1/2003,990.3099976,1390600000
9/2/2003,1008.01001,1470500000
10/1/2003,995.9699707,1566300000
11/3/2003,1050.709961,1378200000
12/1/2003,1058.199951,1375000000
1/2/2004,1111.920044,1153200000
2/2/2004,1131.130005,1599200000
3/1/2004,1144.939941,1497100000
4/1/2004,1126.209961,1560700000
5/3/2004,1107.300049,1571600000
6/1/2004,1120.680054,1238000000
7/1/2004,1140.839966,1495700000
8/2/2004,1101.719971,1276000000
9/1/2004,1104.23999,1142100000
10/1/2004,1114.579956,1582200000
11/1/2004,1130.199951,1395900000
12/1/2004,1173.780029,1772800000
1/3/2005,1211.920044,1510800000
2/1/2005,1181.27002,1681980000
3/1/2005,1203.599976,1708060000
4/1/2005,1180.589966,2168690000
5/2/2005,1156.849976,1980040000
6/1/2005,1191.5,1810100000
7/1/2005,1191.329956,1593820000
8/1/2005,1234.180054,1716870000
9/1/2005,1220.329956,2229860000
10/3/2005,1228.810059,2097490000
11/1/2005,1207.01001,2457850000
12/1/2005,1249.47998,2614830000
1/3/2006,1248.290039,2554570000
2/1/2006,1280.079956,2589410000
3/1/2006,1280.660034,2308320000
4/3/2006,1302.880005,2494080000
5/1/2006,1310.609985,2437040000
6/1/2006,1270.050049,2360160000
7/3/2006,1270.060059,1114470000
8/1/2006,1278.530029,2527690000
9/1/2006,1303.800049,1800520000
10/2/2006,1335.819946,2154480000
11/1/2006,1377.76001,2821160000
12/1/2006,1400.630005,2800980000
1/3/2007,1418.030029,3429160000
2/1/2007,1437.900024,2914890000
3/1/2007,1406.800049,3874910000
4/2/2007,1420.829956,2875880000
5/1/2007,1482.369995,3400350000
6/1/2007,1530.619995,2927020000
7/2/2007,1504.660034,2648990000
8/1/2007,1455.180054,5256780000
9/4/2007,1473.959961,2766600000
10/1/2007,1527.290039,3281990000
11/1/2007,1545.790039,4241470000
12/3/2007,1479.630005,3323250000
1/2/2008,1467.969971,3452650000
2/1/2008,1378.599976,4650770000
3/3/2008,1330.449951,4117570000
4/1/2008,1326.410034,4745120000
5/1/2008,1385.969971,4448780000
6/2/2008,1399.619995,3714320000
7/1/2008,1276.689941,5846290000
8/1/2008,1269.420044,4684870000
9/2/2008,1287.829956,4783560000
10/1/2008,1164.170044,5782130000
11/3/2008,968.6699829,4492280000
12/1/2008,888.6099854,6052010000
1/2/2009,902.9899902,4048270000
2/2/2009,823.0900269,5673270000
3/2/2009,729.5700073,7868290000
4/1/2009,793.5900269,6034140000
5/1/2009,872.7399902,5312170000
6/1/2009,923.2600098,6370440000
7/1/2009,920.8200073,3919400000
8/3/2009,990.2199707,5603440000
9/1/2009,1019.52002,6862360000
10/1/2009,1054.910034,5791450000
11/2/2009,1036.180054,6202640000
12/1/2009,1098.890015,4249310000
1/4/2010,1116.560059,3991400000
2/1/2010,1073.890015,4077610000
3/1/2010,1105.359985,3847640000
4/1/2010,1171.22998,4006870000
5/3/2010,1188.579956,4938050000
6/1/2010,1087.300049,5271480000
7/1/2010,1031.099976,6435770000
8/2/2010,1107.530029,4144180000
9/1/2010,1049.719971,4396880000
10/1/2010,1143.48999,4298910000
11/1/2010,1185.709961,4129180000
12/1/2010,1186.599976,4548110000
1/3/2011,1257.619995,4286670000
2/1/2011,1289.140015,5164500000
3/1/2011,1328.640015,1180420000
4/1/2011,1329.47998,4223740000
5/2/2011,1365.209961,3846250000
